Country,ParticipantName,Address,City,BIC,Status,Role,Readiness Date,Scheme Leaving Date,Scheme Options
AUSTRIA,ICBC Austria Bank GmbH,Kolingasse 4,Wien,ICBKATWWXXX,Ready for operations,Requesting PSP;Responding PSP,2025-10-09,,
AUSTRIA,Raiffeisenbank Kuchl-St.Koloman eGen,Markt 222,Kuchl,RVSAAT2S029,Pending EDS registration,Responding PSP;Requesting PSP,,,
AUSTRIA,Allgemeine Sparkasse Oberoesterreich Bankaktiengesellschaft,Promenade 11-13,Linz,ASPKAT2LXXX,Ready for operations,Requesting PSP;Responding PSP,2025-07-15,,
AUSTRIA,Alpen Privatbank AG,Walserstrasse 61,Riezlern,ALPEAT22XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,AUSTRIAN ANADI BANK AG,Domgasse 5,KLAGENFURT,HAABAT2KXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,BANCO DO BRASIL AG,Praterstrasse 31/4.OG,VIENNA,BRASATWWXXX,Ready for operations,Requesting PSP;Responding PSP,2025-07-07,,
AUSTRIA,BANK FUER TIROL UND VORARLBERG A.G.,STADTFORUM,INNSBRUCK,BTVAAT22XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,BANK GUTMANN AG,Schwarzenbergplatz 16,VIENNA,GUTBATWWXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,BANK WINTER UND CO. AG,"10, SINGERSTRASSE",VIENNA,WISMATWWXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,bank99 AG,Praterstrasse 31,Wien,SPBAATWWXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,Bankhaus Carl Spaengler & Co. AG,Schwarzstrasse  1,Salzburg,SPAEAT2SXXX,Ready for operations,Requesting PSP;Responding PSP,2025-07-23,,
AUSTRIA,Bausparkasse der oesterreichischen Sparkassen AG,Beatrixgasse 27,Wien,BAOSATWWXXX,Ready for operations,Requesting PSP;Responding PSP,2025-07-15,,
AUSTRIA,BAWAG P.S.K.(Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse Aktiengesellschaft),Wiedner Gürtel 11,VIENNA,BAWAATWWXXX,Ready for operations,Requesting PSP;Responding PSP,2025-09-01,,
AUSTRIA,BKS BANK AG,"43, ST. VEITER RING",KLAGENFURT,BFKKAT2KXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,DenizBank AG,Thomas-Klestil-Platz 1,VIENNA,ESBKATWWXXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
AUSTRIA,Die Zweite Wiener Vereins-Sparcasse,Glockengasse 3,Wien,GIBAAT21XXX,Ready for operations,Requesting PSP;Responding PSP,2025-07-15,,
AUSTRIA,DOLOMITENBANK OSTTIROL-WESTKAERNTEN EG,SUEDTIROLER PLATZ 9,LIENZ,OVLIAT21XXX,Pending EDS registration,Requesting PSP;Responding PSP,,,
