IID/QR-IID,Valid on,Concatenation,New IID/QR-IID,SIC IID,Headquarters,IID type,QR-IID allocation,Name of bank/institution,Street Name,Building Number,Post Code,Town Name,Country,BIC,SIC participation,"RTGS customer payments, CHF","IP customer payments, CHF",euroSIC participation,"LSV+/BDD, CHF","LSV+/BDD, EUR",202508101630325
100,2025-08-11,N,,1008.0,100.0,1.0,,Schweizerische Nationalbank,Börsenstrasse,15,8022,Zürich,CH,SNBZCHZZXXX,Y,Y,N,Y,Y,N,
1007,2025-08-11,N,,10075.0,1007.0,1.0,,Schweizerische Nationalbank Transit wCBDC,Börsenstrasse,15,8022,Zürich,CH,SNBZCHZZDX2,Y,N,N,N,N,N,
110,2025-08-11,N,,1100.0,100.0,2.0,,Schweizerische Nationalbank,Bundesplatz,1,3003,Bern,CH,SNBZCHZZXXX,Y,Y,N,Y,Y,N,
115,2025-08-11,N,,1158.0,100.0,2.0,,Schweizerische Nationalbank,Bundesverw. / Bundesplatz,1,3003,Bern,CH,SNBZCHZZXXX,Y,Y,N,Y,Y,N,
193,2025-08-11,N,,1933.0,193.0,1.0,,SECB Swiss Euro Clearing Bank,Nibelungenplatz,3,60318,Frankfurt am Main,DE,SECGDEFFXXX,N,N,N,Y,N,N,
202,2025-08-11,N,,2020.0,230.0,2.0,,UBS Switzerland AG,Poststrasse,10,8610,Uster 1,CH,UBSWCHZH86N,Y,Y,Y,Y,Y,Y,
203,2025-08-11,N,,2031.0,230.0,2.0,,UBS Switzerland AG,Bahnhofstrasse,26,9320,Arbon,CH,UBSWCHZH93A,Y,Y,Y,Y,Y,Y,
204,2025-08-11,N,,2046.0,230.0,2.0,,UBS Switzerland AG,Poststrasse,198,7050,Arosa,CH,UBSWCHZH70E,Y,Y,Y,Y,Y,Y,
206,2025-08-11,N,,2062.0,230.0,2.0,,UBS Switzerland AG,Paradeplatz,6,8098,Zürich,CH,UBSWCHZH80V,Y,Y,Y,Y,Y,Y,
207,2025-08-11,N,,2078.0,230.0,2.0,,UBS Switzerland AG,Bahnhofstrasse,39,8180,Bülach,CH,UBSWCHZH81M,Y,Y,Y,Y,Y,Y,
208,2025-08-11,N,,2083.0,230.0,2.0,,UBS Switzerland AG,Poststrasse,1,7002,Chur,CH,UBSWCHZH70A,Y,Y,Y,Y,Y,Y,
209,2025-08-11,N,,2099.0,230.0,2.0,,UBS Switzerland AG,Promenade,48,7270,Davos Platz 1,CH,UBSWCHZH72D,Y,Y,Y,Y,Y,Y,
210,2025-08-11,N,,2106.0,230.0,2.0,,UBS Switzerland AG,Bahnhofstrasse,11,5201,Brugg AG,CH,UBSWCHZH52A,Y,Y,Y,Y,Y,Y,
211,2025-08-11,N,,2114.0,230.0,2.0,,UBS Switzerland AG,Hauptstrasse,44,3186,Düdingen,CH,UBSWCHZH31A,Y,Y,Y,Y,Y,Y,
213,2025-08-11,N,,2138.0,230.0,2.0,,UBS Switzerland AG,Rorschacherstrasse,1,9450,Altstätten SG,CH,UBSWCHZH94N,Y,Y,Y,Y,Y,Y,
214,2025-08-11,N,,2143.0,230.0,2.0,,UBS Switzerland AG,Zugerstrasse,22,8810,Horgen 1,CH,UBSWCHZH88A,Y,Y,Y,Y,Y,Y,
215,2025-08-11,N,,2159.0,230.0,2.0,,UBS Switzerland AG,Rue du Rhône,8,1211,Genève 2,CH,UBSWCHZH12C,Y,Y,Y,Y,Y,Y,
216,2025-08-11,N,,2167.0,230.0,2.0,,UBS Switzerland AG,Bahnhofplatz,3,8853,Lachen SZ,CH,UBSWCHZH88B,Y,Y,Y,Y,Y,Y,
217,2025-08-11,N,,2175.0,230.0,2.0,,UBS Switzerland AG,Hauptstrasse,37,8280,Kreuzlingen 1,CH,UBSWCHZH82P,Y,Y,Y,Y,Y,Y,
219,2025-08-11,N,,2191.0,230.0,2.0,,UBS Switzerland AG,Rathausstrasse,11,8570,Weinfelden,CH,UBSWCHZH85B,Y,Y,Y,Y,Y,Y,
220,2025-08-11,N,,2209.0,230.0,2.0,,UBS Switzerland AG,St. Gallerstrasse,5,9471,Buchs SG 1,CH,UBSWCHZH94P,Y,Y,Y,Y,Y,Y,
221,2025-08-11,N,,2217.0,230.0,2.0,,UBS Switzerland AG,Plazza Mauritius/Via Maistra,14,7500,St. Moritz 1,CH,UBSWCHZH75A,Y,Y,Y,Y,Y,Y,
222,2025-08-11,N,,2225.0,230.0,2.0,,UBS Switzerland AG,Bahnhofstrasse,25,8304,Wallisellen,CH,UBSWCHZH83B,Y,Y,Y,Y,Y,Y,
223,2025-08-11,N,,2230.0,230.0,2.0,,UBS Switzerland AG,Bahnhofplatz,13,8953,Dietikon 1,CH,UBSWCHZH89D,Y,Y,Y,Y,Y,Y,
225,2025-08-11,N,,2256.0,230.0,2.0,,UBS Switzerland AG,Bellevue / Theaterstrasse,20,8098,Zürich,CH,UBSWCHZH80G,Y,Y,Y,Y,Y,Y,
226,2025-08-11,N,,2264.0,230.0,2.0,,UBS Switzerland AG,Rue du Jura,11,2900,Porrentruy 1,CH,UBSWCHZH29A,Y,Y,Y,Y,Y,Y,
227,2025-08-11,N,,2272.0,230.0,2.0,,UBS Switzerland AG,Bälliz,1,3601,Thun,CH,UBSWCHZH36A,Y,Y,Y,Y,Y,Y,
228,2025-08-11,N,,2288.0,230.0,2.0,,UBS Switzerland AG,Centre La Combe/R. de la Môrache,6,1260,Nyon 1,CH,UBSWCHZH12T,Y,Y,Y,Y,Y,Y,
230,2025-08-11,N,,2301.0,230.0,1.0,,UBS Switzerland AG,Bahnhofstrasse,45,8098,Zürich,CH,UBSWCHZH80A,Y,Y,Y,Y,Y,Y,
231,2025-08-11,N,,2316.0,230.0,2.0,,UBS Switzerland AG,Bahnhofstrasse,61,5001,Aarau,CH,UBSWCHZH50A,Y,Y,Y,Y,Y,Y,
232,2025-08-11,N,,2324.0,230.0,2.0,,UBS Switzerland AG,Badstrasse,12,5401,Baden,CH,UBSWCHZH54A,Y,Y,Y,Y,Y,Y,
233,2025-08-11,N,,2332.0,230.0,2.0,,UBS Switzerland AG,Aeschenplatz,6,4002,Basel,CH,UBSWCHZH40A,Y,Y,Y,Y,Y,Y,
234,2025-08-11,N,,2348.0,230.0,2.0,,UBS Switzerland AG,Largo Elvezia,2,6501,Bellinzona,CH,UBSWCHZH65A,Y,Y,Y,Y,Y,Y,
235,2025-08-11,N,,2353.0,230.0,2.0,,UBS Switzerland AG,Bubenbergplatz,3,3000,Bern 94,CH,UBSWCHZH30A,Y,Y,Y,Y,Y,Y,
236,2025-08-11,N,,2369.0,230.0,2.0,,UBS Switzerland AG,Piazza Col. C. Bernasconi,5,6830,Chiasso 1,CH,UBSWCHZH68B,Y,Y,Y,Y,Y,Y,
238,2025-08-11,N,,2385.0,230.0,2.0,,UBS Switzerland AG,Dorfstrasse,94,8706,Meilen,CH,UBSWCHZH87C,Y,Y,Y,Y,Y,Y,
239,2025-08-11,N,,2390.0,230.0,2.0,,UBS Switzerland AG,Zürcherstrasse,144,8501,Frauenfeld,CH,UBSWCHZH85A,Y,Y,Y,Y,Y,Y,
240,2025-08-11,N,,2404.0,230.0,2.0,,UBS Switzerland AG,Rue du Rhône,8,1211,Genève 2,CH,UBSWCHZH12A,Y,Y,Y,Y,Y,Y,
241,2025-08-11,N,,2412.0,230.0,2.0,,UBS Switzerland AG,Bahnhofstrasse,20,3800,Interlaken,CH,UBSWCHZH38A,Y,Y,Y,Y,Y,Y,
