"Country","ParticipantName","Address","City","BIC","Readiness Date","Scheme Leaving Date","Scheme Options"
"AUSTRIA","Raiffeisenbank Kuchl-St.Koloman eGen","Markt 222","Kuchl","RVSAAT2S029","2010-09-06","",""
"AUSTRIA","Allgemeine Sparkasse Oberoesterreich Bankaktiengesellschaft","Promenade 11-13","Linz","ASPKAT2LXXX","2011-12-01","",""
"AUSTRIA","AUSTRIAN ANADI BANK AG","Domgasse 5","KLAGENFURT","HAABAT2KXXX","2009-11-02","",""
"AUSTRIA","BANK FUER TIROL UND VORARLBERG A.G.","STADTFORUM","INNSBRUCK","BTVAAT22XXX","2009-11-02","",""
"AUSTRIA","bank99 AG","Praterstrasse 31","Wien","SPBAATWWXXX","2014-02-03","",""
"AUSTRIA","Bankhaus Carl Spaengler & Co. AG","Schwarzstrasse  1","Salzburg","SPAEAT2SXXX","2009-11-02","",""
"AUSTRIA","Bausparkasse der oesterreichischen Sparkassen AG","Beatrixgasse 27","Wien","BAOSATWWXXX","2011-12-01","",""
"AUSTRIA","BAWAG P.S.K.(Bank fuer Arbeit und Wirtschaft und Oesterreichische Postsparkasse Aktiengesellschaft)","Wiedner Gürtel 11","VIENNA","BAWAATWWXXX","2009-11-02","",""
"AUSTRIA","BKS BANK AG","43, ST. VEITER RING","KLAGENFURT","BFKKAT2KXXX","2009-11-02","",""
"AUSTRIA","BMW AUSTRIA BANK GMBH","24 SIEGFRIED MARCUS STRASSE","SALZBURG","BMASAT21XXX","2010-11-01","",""
"AUSTRIA","DenizBank AG","Thomas-Klestil-Platz 1","VIENNA","ESBKATWWXXX","2022-06-07","",""
"AUSTRIA","DOLOMITENBANK OSTTIROL-WESTKAERNTEN EG","SUEDTIROLER PLATZ 9","LIENZ","OVLIAT21XXX","2009-11-02","",""
"AUSTRIA","Dornbirner Sparkasse Bank AG","Bahnhofstrasse 2","Dornbirn","DOSPAT2DXXX","2011-12-01","",""
"AUSTRIA","ERSTE BANK DER OESTERREICHISCHEN SPARKASSEN AG","Am Graben 21","Wien","GIBAATWWXXX","2011-12-01","",""
"AUSTRIA","Erste Group Bank AG","Am Graben 21","Wien","GIBAATWGXXX","2011-12-01","",""
"AUSTRIA","HYPO NOE Landesbank für Niederösterreich und Wien AG","Hypogasse 1","ST. POELTEN","HYPNATWWXXX","2009-11-02","",""
"AUSTRIA","HYPO TIROL BANK AG","Meranerstrasse 8","INNSBRUCK","HYPTAT22XXX","2009-11-02","",""
"AUSTRIA","Hypo Vorarlberg Bank AG","1 HYPO-PASSAGE","BREGENZ","HYPVAT2BXXX","2009-11-02","",""
"AUSTRIA","HYPO-BANK BURGENLAND AKTIENGESELLSCHAFT","Neusiedler Strasse 33","EISENSTADT","EHBBAT2EXXX","2012-07-09","",""
"AUSTRIA","Kaerntner Sparkasse AG","Neuer Platz 14","Klagenfurt","KSPKAT2KXXX","2011-12-01","",""
"AUSTRIA","Kremser Bank und Sparkassen Aktiengesellschaft","Ringstrasse 5-7","Krems","SPKDAT21XXX","2011-12-01","",""
"AUSTRIA","Lienzer Sparkasse AG","Johannesplatz 6","Lienz","LISPAT21XXX","2011-12-01","",""
"AUSTRIA","Marchfelder Bank eG","Marchfelder-Platz 1-2","Gaenserndorf","MVOGAT22XXX","2017-02-06","",""
"AUSTRIA","OBERBANK AG","Untere Donaulande, 28","Linz","OBKLAT2LXXX","2009-11-02","",""
